Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
1/3/2024,Wednesday,January,Q1,2024,EQ,3767.00,3771.85,3687.05,3783.20,3692.60,3691.75,3711.76,3929.00,3070.25,1803075,208012
1/2/2024,Tuesday,January,Q1,2024,EQ,3811.10,3811.10,3767.25,3811.10,3781.15,3783.20,3787.05,3929.00,3070.25,1344068,133902
1/1/2024,Monday,January,Q1,2024,EQ,3790.00,3832.00,3773.00,3793.40,3803.00,3811.10,3804.27,3929.00,3070.25,825907,94008
12/29/2023,Friday,December,Q4,2023,EQ,3792.00,3822.60,3765.40,3799.90,3800.00,3793.40,3796.92,3929.00,3070.25,1574996,131434
12/28/2023,Thursday,December,Q4,2023,EQ,3824.00,3838.00,3792.10,3811.20,3796.15,3799.90,3811.22,3929.00,3070.25,1682889,133761
12/27/2023,Wednesday,December,Q4,2023,EQ,3799.00,3818.20,3768.00,3795.55,3808.00,3811.20,3792.62,3929.00,3070.25,1293976,135647
12/26/2023,Tuesday,December,Q4,2023,EQ,3819.85,3834.00,3790.15,3824.00,3798.10,3795.55,3806.25,3929.00,3070.25,1285231,105834
12/22/2023,Friday,December,Q4,2023,EQ,3800.00,3845.95,3762.00,3787.50,3814.00,3824.00,3805.11,3929.00,3070.25,2413058,210826
12/21/2023,Thursday,December,Q4,2023,EQ,3756.25,3806.70,3743.35,3780.05,3796.65,3787.50,3783.40,3929.00,3070.25,1517562,141897
12/20/2023,Wednesday,December,Q4,2023,EQ,3827.25,3898.80,3766.55,3816.20,3774.00,3780.05,3841.02,3929.00,3070.25,2586083,173222
12/19/2023,Tuesday,December,Q4,2023,EQ,3845.00,3855.10,3790.00,3859.20,3808.00,3816.20,3814.98,3929.00,3070.25,2004435,133647
12/18/2023,Monday,December,Q4,2023,EQ,3858.10,3929.00,3830.15,3861.00,3856.00,3859.20,3872.72,3929.00,3070.25,2521612,178532
12/15/2023,Friday,December,Q4,2023,EQ,3666.70,3895.95,3666.70,3667.25,3871.00,3861.00,3810.10,3895.95,3070.25,8531230,363820
12/14/2023,Thursday,December,Q4,2023,EQ,3630.00,3678.00,3627.60,3593.55,3670.00,3667.25,3664.15,3698.40,3070.25,3290396,217977
12/13/2023,Wednesday,December,Q4,2023,EQ,3643.55,3650.00,3563.00,3672.10,3597.00,3593.55,3596.72,3698.40,3070.25,3850968,307799
12/12/2023,Tuesday,December,Q4,2023,EQ,3638.95,3698.40,3631.00,3642.90,3665.50,3672.10,3673.19,3698.40,3070.25,2236866,193557
12/11/2023,Monday,December,Q4,2023,EQ,3622.90,3653.00,3615.00,3626.70,3643.00,3642.90,3638.96,3679.00,3070.25,1102503,79129
12/8/2023,Friday,December,Q4,2023,EQ,3633.00,3645.00,3602.05,3614.90,3625.00,3626.70,3622.26,3679.00,3070.25,1641155,111965
12/7/2023,Thursday,December,Q4,2023,EQ,3605.00,3630.55,3591.70,3604.10,3618.00,3614.90,3615.53,3679.00,3070.25,1967653,169670
12/6/2023,Wednesday,December,Q4,2023,EQ,3532.60,3612.85,3525.15,3531.60,3600.60,3604.10,3573.48,3679.00,3070.25,1896572,109178
12/5/2023,Tuesday,December,Q4,2023,EQ,3538.00,3538.00,3502.80,3512.45,3533.60,3531.60,3520.66,3679.00,3070.25,1377656,74749
12/4/2023,Monday,December,Q4,2023,EQ,3544.65,3547.80,3498.00,3511.65,3514.45,3512.45,3514.58,3679.00,3070.25,1625213,105864
12/1/2023,Friday,December,Q4,2023,EQ,3500.00,3516.95,3490.05,3487.60,3512.00,3511.65,3503.53,3679.00,3070.25,1172141,90309
11/30/2023,Thursday,November,Q4,2023,EQ,3499.45,3516.65,3481.00,3513.75,3487.90,3487.60,3492.69,3679.00,3070.25,3266235,136958
11/29/2023,Wednesday,November,Q4,2023,EQ,3481.00,3518.00,3475.80,3470.15,3514.60,3513.75,3503.48,3679.00,3070.25,1441634,140282
11/28/2023,Tuesday,November,Q4,2023,EQ,3457.10,3481.25,3433.00,3457.10,3473.30,3470.15,3454.10,3679.00,3070.25,1689195,120747
11/24/2023,Friday,November,Q4,2023,EQ,3494.25,3504.55,3453.00,3508.25,3454.00,3457.10,3474.52,3679.00,3070.25,1989733,137682
